name,price
                        Apartment Gerard Doustraat                            ,"                €2,250 per month            "
                        Apartment Lijnbaansgracht 60 1                            ,"                €1,850 per month            "
                        Apartment Burgemeester De Vlugtlaan                            ,"                €1,750 per month            "
                        Apartment Nicolaas Maesstraat 82 bov                            ,"                €4,250 per month            "
                        Apartment Thorn Prikkerstraat 71                            ,"                €2,800 per month            "
                        Apartment Bataviastraat 46 K                            ,"                €1,800 per month            "
                        Apartment Albert Cuypstraat                            ,"                €1,950 per month            "
                        Apartment Van Woustraat                            ,"                €2,050 per month            "
                        Apartment Weteringschans 143 1                            ,"                €1,950 per month            "
                        Apartment Weteringschans 143 3                            ,"                €2,800 per month            "
                        Apartment Weteringschans 143 2                            ,"                €1,900 per month            "
                        Apartment Andreas Schelfhoutstraat 12                            ,"                €1,650 per month            "
                        Apartment Argonautenstraat                            ,"                €2,250 per month            "
                        Apartment Rozengracht                            ,"                €2,100 per month            "
                        Apartment IJdok 103                            ,"                €3,250 per month            "
                        Apartment Willem Heselaarsstraat 48                            ,"                €2,000 per month            "
                        Apartment Voordek 15                            ,"                €1,650 per month            "
                        Apartment Henri Polaklaan 9 A1                            ,"                €2,150 per month            "
                        Apartment Ruyschstraat                            ,"                €2,100 per month            "
                        Project: Q-Residences | Quartz - APPARTEMENT H–F’ LUXE                            ,"                €1,950 - €2,000 per month            "
                        Project: Q-Residences | Quartz - APPARTEMENT H–I LUXE                            ,"                €2,790 - €2,850 per month            "
                        Project: Q-Residences | Quartz - APPARTEMENT H–G LUXE                            ,"                €1,900 - €1,925 per month            "
                        Project: Q-Residences | Quartz - APPARTEMENT H–G’ LUXE                            ,"                €1,900 - €1,925 per month            "
                        Project: Q-Residences | Quartz - APPARTEMENT H–J LUXE                            ,"                €1,575 - €1,650 per month            "
                        Project: Q-Residences | Quartz - APPARTEMENT H–A’ LUXE                            ,"                €1,650 - €1,675 per month            "
                        Project: Q-Residences | Quartz - APPARTEMENT H-A LUXE                            ,"                €1,650 - €1,675 per month            "
                        Project: Q-Residences | Quartz - APPARTEMENT H–I’ LUXE                            ,"                €2,790 - €2,850 per month            "
                        Project: Q-Residences | Quartz - APPARTEMENT H–B LUXE                            ,"                €1,350 per month            "
                        Project: Q-Residences | Quartz - APPARTEMENT H–F LUXE                            ,"                €1,950 - €2,000 per month            "
                        Project: Q-Residences | Quartz - APPARTEMENT H–E LUXE                            ,"                €1,550 - €1,675 per month            "
                        Project: Q-Residences | Quartz - APPARTEMENT H–D’ LUXE                            ,"                €1,350 per month            "
